Country,Population,Subregion
Nigeria,200962417,Western Africa
Ethiopia,110135635,Eastern Africa
Egypt,101168745,Northern Africa
DR Congo,86727573,Middle Africa
Tanzania,60913557,Eastern Africa
South Africa,58065097,Southern Africa
Kenya,52214791,Eastern Africa
Uganda,45711874,Eastern Africa
Algeria,42679018,Northern Africa
Sudan,42514094,Northern Africa
Morocco,36635156,Northern Africa
Angola,31787566,Middle Africa
Mozambique,31408823,Eastern Africa
Ghana,30096970,Western Africa
Madagascar,26969642,Eastern Africa
Côte d'Ivoire,25531083,Western Africa
Cameroon,25312993,Middle Africa
Niger,23176691,Western Africa
Burkina Faso,20321560,Western Africa
Malawi,19718743,Eastern Africa
Mali,19689140,Western Africa
Zambia,18137369,Eastern Africa
Zimbabwe,17297495,Eastern Africa
Senegal,16743859,Western Africa
Chad,15814345,Middle Africa
Somalia,15636171,Eastern Africa
Guinea,13398180,Western Africa
South Sudan,13263184,Eastern Africa
Rwanda,12794412,Eastern Africa
Benin,11801595,Western Africa
Tunisia,11783168,Northern Africa
Burundi,11575964,Eastern Africa
Togo,8186384,Western Africa
Sierra Leone,7883123,Western Africa
Libya,6569864,Northern Africa
Congo,5542197,Middle Africa
Eritrea,5309659,Eastern Africa
Liberia,4977720,Western Africa
Central African Republic,4825711,Middle Africa
Mauritania,4661149,Western Africa
Namibia,2641996,Southern Africa
Botswana,2374636,Southern Africa
Lesotho,2292682,Southern Africa
Gambia,2228075,Western Africa
Gabon,2109099,Middle Africa
Guinea-Bissau,1953723,Western Africa
Swaziland,1415414,Southern Africa
Equatorial Guinea,1360104,Middle Africa
Mauritius,1271368,Eastern Africa
Djibouti,985690,Eastern Africa
Comoros,850910,Eastern Africa
Cabo Verde,560349,Western Africa
Sao Tome & Principe,213379,Middle Africa
Seychelles,95702,Eastern Africa
